<Sentence id="6081">
0	((	SSF
29	,	SYM	<fs af=',,punc,,,,,, '>
30	jilleru	NNP	<fs af='jilleru,n,any,sg,3,,0,0'>|<fs af='jilleru,n,any,sg,3,,obl,obl'>
31	,	SYM	<fs af=',,punc,,,,,, '>
32	kqRNAlo	NNP	<fs af='kqRNaM,n,any,pl,3,,0,0_o'>
33	budameru	NNP	<fs af='budameru,n,any,sg,3,,0,0'>|<fs af='budameru,n,any,sg,3,,obl,obl'>
34	,	SYM	<fs af=',,punc,,,,,, '>
35	guMtUrulo	NNP	<fs af='guMtUru,n,any,sg,3,,lo,lo'>|<fs af='guMtUru,n,any,pl,3,,0,0_o'>
36	nAguleru	NNP	<fs af='nAguleru,n,any,sg,3,,0,0'>|<fs af='nAguleru,n,any,sg,3,,obl,obl'>
37	,	SYM	<fs af=',,punc,,,,,, '>
38	prakASaMlo	NNP	<fs af='prakASaM,n,any,sg,3,,lo,lo'>
39	guMdlakamma	NNP	<fs af='guMdlakamma,n,any,sg,3,,0,0'>|<fs af='guMdlakamma,n,any,sg,3,,obl,obl'>
40	,	SYM	<fs af=',,punc,,,,,, '>
41	mUsi	NNP	<fs af='muyyi,v,any,any,any,,i,i'>
42	,	SYM	<fs af=',,punc,,,,,, '>
43	pAleru	NNP	<fs af='pAleru,n,any,sg,3,,0,0'>|<fs af='pAleru,n,any,sg,3,,obl,obl'>
44	,	SYM	<fs af=',,punc,,,,,, '>
45	neVllUrulo	NNP	<fs af='neVllUru,n,any,sg,3,,lo,lo'>|<fs af='neVllUru,n,any,pl,3,,0,0_o'>
46	munneru	NNP	<fs af='munneru,n,any,sg,3,,0,0'>|<fs af='munneru,n,any,sg,3,,obl,obl'>
47	,	SYM	<fs af=',,punc,,,,,, '>
48	upputeru	NNP	<fs af='upputeru,n,any,sg,3,,0,0'>|<fs af='upputeru,n,any,sg,3,,obl,obl'>
49	,	SYM	<fs af=',,punc,,,,,, '>
50	ciwwUrulo	NN	<fs af='ciwwUrulo,unk,,,,,,'>
51	svarNamuKi	NNP	<fs af='svarNamuKi,n,any,sg,3,,0,0'>|<fs af='svarNamuKi,n,any,sg,3,,obl,obl'>
52	,	SYM	<fs af=',,punc,,,,,, '>
53	karnUlulo	NNP	<fs af='karnUl,n,any,sg,3,,lo,lo'>|<fs af='karnUlu,n,any,sg,3,,lo,lo'>
54	haMxri	NNP	<fs af='haMxri,n,any,sg,3,,0,0'>|<fs af='haMxri,n,any,sg,3,,obl,obl'>
55	,	SYM	<fs af=',,punc,,,,,, '>
56	koVMxaru	NNP	<fs af='koVMxaru,pn,mf,pl,3,,0,0'>
57	,	SYM	<fs af=',,punc,,,,,, '>
58	sagileru	NNP	<fs af='sagileru,n,any,sg,3,,0,0'>|<fs af='sagileru,n,any,sg,3,,obl,obl'>
59	,	SYM	<fs af=',,punc,,,,,, '>
60	kadapa	NNP	<fs af='kadapu,v,any,any,any,,an,an'>|<fs af='kadapa,n,any,sg,3,,0,0'>|<fs af='kadapa,n,any,sg,3,,obl,obl'>
61	jillAlo	NN	<fs af='jillA,n,any,sg,3,,lo,lo'>|<fs af='jillA,n,any,pl,3,,0,0_o'>
62	pAlegni	NNP	<fs af='pAlegni,n,any,sg,3,,0,0'>|<fs af='pAlegni,n,any,sg,3,,obl,obl'>
63	,	SYM	<fs af=',,punc,,,,,, '>
64	ciwrAvawi	NNP	<fs af='ciwrAvawi,n,any,sg,3,,0,0'>|<fs af='ciwrAvawi,n,any,sg,3,,obl,obl'>
65	,	SYM	<fs af=',,punc,,,,,, '>
66	ceVyyeru	NNP	<fs af='ceVyyeru,n,any,sg,3,,0,0'>
67	,	SYM	<fs af=',,punc,,,,,, '>
68	AxilAbAxlo	NNP	<fs af='AxilAbAx,n,any,sg,3,,lo,lo'>
69	vadiM	NNP	<fs af='vadiM,n,any,sg,3,,0,0'>|<fs af='vadiM,n,any,sg,3,,obl,obl'>
70	,	SYM	<fs af=',,punc,,,,,, '>
71	peVnugoVMda	NNP	<fs af='peVnugoVMda,n,any,sg,3,,0,0'>|<fs af='peVnugoVMda,n,any,sg,3,,obl,obl'>
72	,	SYM	<fs af=',,punc,,,,,, '>
73	KammaMlo	NNP	<fs af='KammaM,n,any,sg,3,,lo,lo'>
74	vErA	NNP	<fs af='vEri,n,any,sg,3,,0,0_A'>
75	.	SYM	<fs af='.,punc,,,,,, '>
))
</Sentence>
