<Sentence id="7476">
0	((	SSF
76	sAtivAriki	NN	<fs af='sAti,n,,pl,,,vAru_ki,vAru_ki' deri_cat='pn'>
77	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
78	,	SYM	<fs af=',,punc,,,,,, '>
79	sAvAsakApulaku	NN	<fs af='sAvAsakApulu,n,any,sg,3,,ki,ki'>
80	sarvulaku	NN	<fs af='sarv,n,any,pl,3,,ki,ki'>
81	ceVppu	VM	<fs af='ceVppu,v,any,sg,2,,AjFArWa,AjFArWa'>|<fs af='ceVppu,n,any,sg,3,,0,0'>|<fs af='ceVppu,n,any,sg,3,,obl,obl'>
82	!	SYM	<fs af='!,punc,,,,,, '>
83	AdaxAni	NN	<fs af='AdaxA,n,any,sg,3,,ni,ni'>|<fs af='AdaxAni,adj,any,any,any,,0_adj,0_adj'>
84	Awma	NN	<fs af='Awma,n,any,sg,3,,0,0'>|<fs af='Awma,n,any,sg,3,,obl,obl'>
85	GoRa	NN	<fs af='GoRa,n,any,sg,3,,0,0'>|<fs af='GoRa,n,any,sg,3,,obl,obl'>|<fs af='GoRaM,n,any,sg,3,,obl,obl'>
86	"	SYM	<fs af='",punc,,,,,, '>
87	moVxxAvawAraM	NN	<fs af='moVxxAvawAraM,n,any,sg,3,,0,0'>
88	"	SYM	<fs af='",punc,,,,,, '>
89	lAMti	JJ	<fs af='lAMti,avy,,,,,, '>|<fs af='lAMti,adj,any,any,any,,0_adj,0_adj'>
90	moVgudugA	RB	<fs af='moVgudu,n,any,sg,3,,gA,gA'>
91	nAkoVxxu	VM	<fs af='nAku,v,any,any,any,,a_vaxxu,a_vaxxu'>
91	aMte	VM	<fs af='aMte,avy,,,,,,'>|<fs af='aMtu,v,any,any,any,,e,e'>|<fs af='aMtu,v,any,any,any,,i_e,i_e'>|<fs af='anu,v,any,any,any,,we,we'>
92	peVxxala	NN	<fs af='peVxxalu,n,any,sg,3,,obl,obl'>
93	mAta	VM	<fs af='mAta,n,any,sg,3,,0,0'>|<fs af='mAta,n,any,sg,3,,obl,obl'>
93	eVxurAduta	VM	<fs af='eVxurAdu,v,any,any,any,,adaM,adaM'>
94	eVppatinuMdi	WQ	<fs af='eVppudu,adv,any,any,any,,nuMdi_adv,nuMdi_adv'>
95	nercAvani	VM	<fs af='nercu,v,any,sg,2,,A_ani,A_ani'>|<fs af='neruvu,v,any,sg,2,,A_ani,A_ani'>
96	kalYlu	VM	<fs af='kannu,n,any,pl,3,,0,0'>|<fs af='kannu,n,any,pl,3,,vu_agr,vu_agr'>
96	eVrra	VM	<fs af='eVrra,n,any,sg,3,,0,0'>|<fs af='eVrra,n,any,sg,3,,obl,obl'>
96	ceSAru	VM	<fs af='ceVyyi,v,any,pl,2,,A,A'>|<fs af='ceVyyi,v,mf,pl,3,,A,A'>
97	.	SYM	<fs af='.,punc,,,,,, '>
))
</Sentence>
